tier,posts,views,likes,median_views,median_likes,share_posts,share_views,share_likes
frame,13,51450,321,277.0,3.0,0.002277106323349098,0.001139801493766903,0.0010387609943628608
feel,979,5939273,42101,184.0,2.0,0.17148362235067438,0.13157613677919214,0.13623949103947292
turn,72,290474,2687,286.0,2.5,0.012611665790856543,0.0064350378833906196,0.00869517380639566
interaction,1094,9228060,64700,124.0,2.0,0.19162725521107024,0.20443453007911774,0.20937020665195358
task,1671,16577960,120018,147.0,2.0,0.2926957435627956,0.36726109954534436,0.3883801153315945
batch,721,7326205,37333,119.0,2.0,0.12629181993343844,0.1623016404789612,0.12081016885529186
unclear,1159,5726017,41862,101.0,1.0,0.20301278682781573,0.12685175374022703,0.1354660833209286
