framing,posts,views,likes,median_views,median_likes,share_posts,share_views,share_likes
cost,804,12463244,75443,198.5,2.0,0.14083026799789805,0.2761054252357899,0.2441347217997424
latency,932,13742033,91478,147.5,2.0,0.163251007181643,0.30443517474818416,0.296024231284504
accuracy,526,2501124,16152,107.0,1.0,0.09213522508320196,0.055408841035884386,0.05226812330513685
capability,548,4667032,35543,217.5,3.0,0.09598878963040813,0.10339144888353619,0.11501770100510643
none,2899,11766006,90406,116.0,2.0,0.5077947101068488,0.2606591100966053,0.2925552226055103
