framing,measured_production,measured_demo,demo_no_numbers,proposal_or_idea,commentary_or_meme
cost,5,646,144,3,6
latency,7,631,293,0,1
accuracy,2,414,108,1,1
capability,0,41,495,9,3
none,1,196,2641,13,48
