baseline,posts,views,likes,median_views,median_likes,share_posts,share_views,share_likes
frontier_llm,630,6371727,45554,129.0,2.0,0.1126005361930295,0.14294388586181997,0.15071130814530537
small_llm,239,3074729,18074,149.0,2.0,0.04271671134941912,0.06897874174961166,0.059796201945345066
classic_classifier_or_ml,59,212745,1442,192.0,3.0,0.010545129579982127,0.004772740106045487,0.0047707271885132005
vendor_api,31,572671,2012,79.0,2.0,0.005540661304736372,0.01284735175571306,0.006656520876066962
rules_or_regex,138,967037,6813,145.5,2.0,0.024664879356568366,0.021694593404920956,0.0225401971812347
none,4498,33376114,228365,131.0,2.0,0.8039320822162646,0.7487626871218889,0.7555250446635347
