stance,posts,share_of_hot_takes,share_of_all_posts,views,share_of_hot_take_views,share_of_all_views,likes,median_views,top_card_views,top_card_url,top_card_title
bullish,6,0.3333333333333333,0.0010723860589812334,60841,0.49234466797222715,0.0013649123635898067,724,437.5,58987,https://x.com/HamonPaulm/status/2101265909826609278,
skeptical,7,0.3888888888888889,0.0012511170688114387,60624,0.4905886351497888,0.0013600441664382316,158,124.0,52681,https://x.com/xuanwo/status/2100536772765929653,
mixed,4,0.2222222222222222,0.0007149240393208221,2083,0.016856296631977602,4.673020583747091e-05,7,113.5,1808,https://x.com/Knoxmajor_/status/2100617067246330101,
neutral,1,0.05555555555555555,0.00017873100983020553,26,0.00021040024600644147,5.832862946587823e-07,1,26.0,26,https://x.com/Brantley_Brum/status/2101701169428988240,
