share_of_cards_top,share_of_views
0.00017873100983020553,0.07832686928731367
0.0021447721179624667,0.2702794118580713
0.004110813226094728,0.37291864100664623
0.0060768543342269886,0.444954947078771
0.00804289544235925,0.4934897061073866
0.01000893655049151,0.5328641333510922
0.011974977658623771,0.5663029046558203
0.013941018766756031,0.5958617676989196
0.01590705987488829,0.6227492468147464
0.017873100983020553,0.6461054434004443
0.019839142091152815,0.6668209458916039
0.021805183199285077,0.685669977108032
0.02377122430741734,0.7031014655898215
0.025737265415549597,0.7189159722923755
0.02770330652368186,0.733645633789129
0.02966934763181412,0.7475843142021485
0.03163538873994638,0.7603906340104413
0.033601429848078644,0.7720761916376353
0.035567470956210906,0.7830773076662237
0.03753351206434316,0.7934916152482973
0.03949955317247542,0.8030814252187822
0.041465594280607684,0.8121638658492673
0.043431635388739946,0.8208281350746582
0.04539767649687221,0.8288246760971946
0.04736371760500447,0.8362855359603516
0.04932975871313673,0.8432121728798659
0.05129579982126899,0.8496628930511152
0.05326184092940125,0.8557027553300421
0.05522788203753351,0.8611919056104581
0.05719392314566577,0.8663343594909643
0.059159964253798034,0.8713047887827226
0.061126005361930295,0.8760282636309576
0.06309204647006256,0.8804474200719986
0.06505808757819481,0.8847039518072711
0.06702412868632708,0.8887620540319183
0.06899016979445934,0.8925450470322809
0.0709562109025916,0.8961726839714699
0.07292225201072386,0.8996360809505359
0.07488829311885613,0.9029557427261451
0.07685433422698838,0.9060734079710963
0.07882037533512064,0.9090660704762844
0.0807864164432529,0.9119212793227275
0.08275245755138516,0.914658888678532
0.08471849865951743,0.9172274796134149
0.08668453976764968,0.9196848199046358
0.08865058087578195,0.921993354888454
0.09061662198391421,0.9241882836493432
0.09258266309204646,0.9263072730214856
0.09454870420017873,0.9283511755002347
0.09651474530831099,0.9303182860948832
0.09848078641644326,0.9321904780621201
0.10044682752457551,0.9339896022039069
0.10241286863270778,0.9357067073190293
0.10437890974084003,0.9373782712349918
0.1063449508489723,0.9389944678211383
0.10831099195710456,0.9405373273727755
0.11027703306523681,0.9420172817409427
0.11224307417336908,0.943437247357113
0.11420911528150134,0.94481120065827
0.1161751563896336,0.9461247389597534
0.11814119749776586,0.9473975369569635
0.12010723860589813,0.9486255565140146
0.12207327971403038,0.9498208896044765
0.12403932082216265,0.9509767611336959
0.1260053619302949,0.9520975008807062
0.12797140303842716,0.9531711739105553
0.12993744414655942,0.954212586721492
0.1319034852546917,0.9552236910791947
0.13386952636282395,0.9562049805336051
0.1358355674709562,0.9571554679848399
0.13780160857908846,0.9580675931451567
0.13976764968722075,0.9589462466457953
0.141733690795353,0.9598009629742648
0.14369973190348526,0.9606347931665677
0.1456657730116175,0.9614388533237549
0.14763181411974977,0.9622202774858916
0.14959785522788205,0.9629829018820697
0.1515638963360143,0.9637279603871433
0.15352993744414656,0.9644490368518711
0.1554959785522788,0.9651466023921065
0.15746201966041107,0.9658218235804388
0.15942806076854335,0.9664826420841106
0.1613941018766756,0.9671258498285015
0.16336014298480786,0.9677566066539102
0.16532618409294011,0.9683717942220692
0.1672922252010724,0.9689754282347762
