claim,chips,cards,median,p25,p75,chips_reading_1x,median_without_1x
cost multiple (N× cheaper),126,120,28.0,5.25,100.0,8,34.0
speed multiple (N× faster),297,281,6.0,2.0,16.0,51,8.1
