day,posts,views,likes,median_views,median_likes,share_views,share_likes
2026-09-16,89,3742573,23779,793.0,8.0,0.08396121298692319,0.0786706808707735
2026-09-17,721,10533193,70485,250.0,3.0,0.23630258138060858,0.23319327731092437
2026-09-18,948,11351487,83620,165.0,2.0,0.25466026119605145,0.276649242374115
2026-09-19,1027,9650768,58402,160.0,2.0,0.21650618105121336,0.19321775954476278
2026-09-20,945,3856814,25949,107.0,2.0,0.08652410566338911,0.08584993052339046
2026-09-21,901,4055254,27074,140.0,2.0,0.09097592613693099,0.08957189174882552
2026-09-22,628,1271092,11544,92.5,1.0,0.028515790109631574,0.03819228478793092
2026-09-23,336,113842,1407,40.0,1.0,0.0025539414752517348,0.004654932839277443
