evidence,posts,views,likes,median_views,median_likes,share_posts,share_views,share_likes
measured_production,37,441626,3908,466.0,4.0,0.006613047363717605,0.009907476660191516,0.012929266194666843
measured_demo,1723,21977547,135275,143.0,2.0,0.3079535299374441,0.4930462290507399,0.44754515979620196
demo_no_numbers,3672,21120452,158269,130.0,2.0,0.6563002680965148,0.4738180841768719,0.5236187388341164
proposal_or_idea,21,6406,59,55.0,1.0,0.0037533512064343165,0.00014371276936862151,0.00019519618871170516
commentary_or_meme,142,1028992,4749,119.0,2.0,0.025379803395889185,0.023084497342828067,0.01571163898630318
