views_top,views_cards,views_total,views_share,views_min_in_group,likes_top,likes_cards,likes_total,likes_share,likes_min_in_group
0.1%,6,8354660,0.18742917978976703,723016,0.1%,6,41016,0.13569774366439488,4437
1%,56,23752431,0.5328641333510922,149377,1%,56,142050,0.4699596373982664,1106
5%,280,37693594,0.8456214144858658,26747,5%,280,249115,0.824174551710448,194
10%,560,41618220,0.9336668205420781,7202,10%,560,277271,0.9173261430556474,49
25%,1399,43903392,0.9849325708704626,955,25%,1399,295050,0.976146364057434,9
50%,2798,44440973,0.9969927104692689,133,50%,2798,300873,0.9954112353602859,2
