bucket,posts,share of posts,share of views,share of likes,"v1 labels (all 5,782 cards), share of posts"
noise,1206,21.1%,13.5%,14.9%,22.4%
hype,860,15.1%,19.8%,22.3%,37.2%
unproven_demo,1949,34.1%,18.0%,18.7%,9.0%
cost_only,1398,24.5%,41.4%,37.9%,27.2%
material,296,5.2%,7.4%,6.2%,4.3%
