bucket,posts,share of posts,share of views,share of likes,"v1 labels (all 5,782 cards), share of posts"
noise,1206,21.1%,13.5%,14.9%,22.4%
hype,655,11.5%,15.9%,16.9%,9.8%
demo,2154,37.7%,21.8%,24.1%,36.4%
cost_only,1329,23.3%,39.4%,35.4%,25.3%
fast_loop,274,4.8%,5.1%,4.9%,4.3%
material_vs_frontier,14,0.2%,0.3%,0.3%,0.4%
material,77,1.3%,4.0%,3.5%,1.4%
