family,frontier_llm,small_llm,classic_classifier_or_ml,vendor_api,rules_or_regex,none
other_or_meta,0.0765,0.0274,0.0108,0.0042,0.0083,0.8728
games_control_loops_simulation,0.0705,0.026,0.0065,0.0,0.0121,0.885
classification_routing_triage,0.1851,0.0621,0.0226,0.0068,0.0158,0.7077
agent_harness_and_tool_gating,0.2034,0.0212,0.0042,0.0021,0.0275,0.7415
search_rerank_extraction,0.0961,0.0114,0.032,0.0183,0.0481,0.7941
evals_and_judging,0.1801,0.0457,0.0161,0.0027,0.0081,0.7473
moderation_and_guardrails,0.1013,0.0294,0.0196,0.0098,0.0425,0.7974
trading_and_markets,0.1011,0.0,0.0112,0.0,0.0112,0.8764
data_and_telemetry,0.1139,0.0127,0.0127,0.0084,0.0042,0.8481
browser_and_computer_use,0.2143,0.0268,0.0,0.0089,0.0,0.75
compaction_and_context,0.1268,0.0141,0.0282,0.0,0.0141,0.8169
live_chat_streams_events,0.0517,0.0172,0.0172,0.0,0.0172,0.8966
collaboration_and_typing,0.06,0.0,0.0,0.0,0.02,0.92
voice_and_turn_taking,0.1042,0.0625,0.0,0.0417,0.0,0.7917
