jev_prob,cards,mean_prob,jev_right,jev_rate
<0.7,38,0.5197368421052632,17,0.4473684210526316
0.7–0.9,26,0.8096153846153846,16,0.6153846153846154
0.9–0.99,28,0.9471428571428572,25,0.8928571428571429
≥0.99,28,0.9971428571428572,27,0.9642857142857143
