cat,evals_and_judging,classification_routing_triage,moderation_and_guardrails,agent_harness_and_tool_gating,compaction_and_context,search_rerank_extraction,browser_and_computer_use,voice_and_turn_taking,live_chat_streams_events,collaboration_and_typing,games_control_loops_simulation,data_and_telemetry,trading_and_markets,other_or_meta
Agents & browsers,0,16,7,72,2,22,160,16,1,1,7,0,0,25
Content & growth,65,109,46,3,0,76,0,0,18,5,1,67,1,80
Dev tools,74,114,10,241,41,71,26,1,0,8,4,4,1,342
Games & real time,6,3,0,9,0,2,2,4,11,2,900,1,3,34
Research & data,139,123,3,34,14,133,8,1,2,3,44,138,7,329
Robotics & devices,1,0,0,6,0,1,1,0,0,0,88,0,1,1
Safety & moderation,42,26,198,52,1,4,1,3,8,1,3,12,0,23
Tools & apps,34,137,34,33,10,111,26,22,14,29,29,8,2,354
Trading & markets,0,4,1,0,0,2,0,0,1,0,1,3,249,0
Triage & routing,11,354,7,22,3,15,0,1,3,1,1,4,3,15
