subtype,posts,share_of_noise,share_of_all_posts,views,share_of_noise_views,share_of_all_views,likes,median_views,top_card_views,top_card_url,top_card_title
unrelated_or_unclear,500,0.41459369817578773,0.08758101243650376,2293432,0.3760503815872666,0.05080772049470974,17238,142.0,175924,https://x.com/op7418/status/2101536330018918793,
benchmark_of_the_model,340,0.28192371475953565,0.05955508845682256,1837179,0.3012393059807803,0.04070008490801137,14210,72.5,649221,https://x.com/hi_im_isaac_/status/2100408276949385668,
tooling_or_wrapper,234,0.19402985074626866,0.040987913820283765,978481,0.1604399665766808,0.021676853360982178,10046,131.5,194139,https://x.com/googlegemma/status/2102536894169096357,
explainer_or_tutorial,58,0.04809286898839138,0.010159397442634437,118178,0.01937745788635547,0.002618065324205735,814,153.5,28802,https://x.com/HayashiKantaAI/status/2101185855016886642,
news_or_repost,46,0.03814262023217247,0.008057453144158346,808053,0.13249515965275427,0.017901263682076334,3579,220.0,527680,https://x.com/AskVenice/status/2101095644467511578,
hot_take_or_commentary,14,0.011608623548922056,0.0024522683482221053,56217,0.009217811690815933,0.0012454075913526529,167,75.0,52681,https://x.com/xuanwo/status/2100536772765929653,
meme_or_joke,14,0.011608623548922056,0.0024522683482221053,7196,0.0011799166253466291,0.00015941713409420085,90,125.0,2167,https://x.com/jevbook/status/2102104769925935409,
