baseline,posts,views,likes,median_views,median_likes,share_posts,share_views,share_likes
frontier_llm,690,9013543,61093,129.0,2.0,0.1208617971623752,0.19968221138060666,0.19769789853149614
small_llm,171,1765438,11701,158.0,2.0,0.02995270625328429,0.03911076520024983,0.0378646180530836
classic_classifier_or_ml,77,417689,2551,147.0,2.0,0.01348747591522158,0.0092533050754131,0.008255075690403919
vendor_api,30,158789,798,179.5,2.5,0.005254860746190226,0.003517744205903844,0.00258234041589272
rules_or_regex,94,545111,3458,116.0,2.0,0.016465230338062707,0.012076158057702046,0.011190141802201785
none,4647,33238869,229421,134.0,2.0,0.813977929584866,0.7363598160801246,0.7424099255069219
