share_of_cards_top,share_of_views
0.00017516202487300754,0.0773474832064262
0.0021019442984760903,0.26689988327059183
0.004028726572079173,0.36825572865449213
0.005955508845682256,0.4393913047966768
0.007882291119285338,0.4878369223862086
0.009809073392888421,0.5271929276746218
0.011735855666491504,0.5606445618431368
0.013662637940094587,0.5901907863764102
0.01558942021369767,0.616942669579921
0.017516202487300753,0.6403487424821562
0.019442984760903836,0.6609740541968189
0.02136976703450692,0.6797461528044245
0.023296549308110003,0.6971327002978482
0.025223331581713086,0.7128496878306352
0.02715011385531617,0.727474592672718
0.02907689612891925,0.7413195808658588
0.031003678402522335,0.754173152218396
0.032930460676125414,0.7658796113970313
0.0348572429497285,0.7768691143901899
0.03678402522333158,0.787286589893153
0.03871080749693467,0.7970165956205171
0.040637589770537746,0.8061133192195853
0.04256437204414083,0.8149134728945124
0.04449115431774391,0.8231318071985786
0.046417936591347,0.8307702938000625
0.04834471886495008,0.8379173476214448
0.05027150113855316,0.8445411118201979
0.052198283412156245,0.8507211177347597
0.054125065685759324,0.856450564217247
0.05605184795936241,0.8616803589428748
0.05797863023296549,0.8666641382051735
0.05990541250656858,0.8714827182499987
0.061832194780171656,0.8759975506120047
0.06375897705377474,0.880277975984593
0.06568575932737783,0.8844458611902554
0.0676125416009809,0.8883779215776253
0.06953932387458399,0.8920660489378257
0.07146610614818708,0.8956005412473115
0.07339288842179016,0.898988399036151
0.07531967069539323,0.9022169726123535
0.07724645296899632,0.9052784639171081
0.07917323524259941,0.9082215665108289
0.0811000175162025,0.9110347162267568
0.08302679978980557,0.9137205493404559
0.08495358206340865,0.9162465000949613
0.08688036433701174,0.9186628792617472
0.08880714661061481,0.9209282818069582
0.0907339288842179,0.92309133483028
0.09266071115782099,0.9251844711672204
0.09458749343142407,0.9272060514531428
0.09651427570502714,0.9291418973993009
0.09844105797863023,0.9309823943536383
0.10036784025223332,0.9327590225478877
0.1022946225258364,0.9344623002514497
0.10422140479943948,0.9361190997522144
0.10614818707304256,0.9377272943068699
0.10807496934664565,0.9392688065972641
0.11000175162024874,0.9407466273561796
0.11192853389385181,0.942165630370373
0.1138553161674549,0.9435358733634239
0.11578209844105798,0.9448560271207624
0.11770888071466107,0.9461301900539791
0.11963566298826414,0.9473702143263234
0.12156244526186723,0.9485738181194499
0.12348922753547031,0.9497393620687222
0.1254160098090734,0.9508668240205643
0.1273427920826765,0.9519602359258386
0.12926957435627956,0.9530043339705662
