evidence,posts,views,likes,median_views,median_likes,share_posts,share_views,share_likes
measured_production,15,78842,1626,61.0,0.0,0.002627430373095113,0.0017466322521199255,0.005261761298548323
measured_demo,1928,23190681,147258,136.0,2.0,0.3377123839551585,0.5137565178867198,0.47652917915229337
demo_no_numbers,3681,21087570,157543,135.0,2.0,0.6447714135575408,0.46716508816159635,0.5098115991741689
proposal_or_idea,26,143135,1095,65.5,1.0,0.004554212646698196,0.0031709521245933073,0.0035434370368452733
commentary_or_meme,59,639211,1500,126.0,2.0,0.010334559467507444,0.014160809574970571,0.0048540233381442095
