baseline,posts,views,share_posts,share_views
frontier_llm,840,7765998,0.14527845036319612,0.16531909008741075
small_llm,240,4250146,0.041508128675198895,0.0904752060789416
classic_classifier_or_ml,93,523892,0.01608439986163957,0.011152378450789426
vendor_api,41,70448,0.007090971982013144,0.0014996654980438974
rules_or_regex,102,703625,0.01764095468695953,0.014978454123057252
none,4466,33661700,0.7723970944309927,0.716575205761757
