family,measured_production,measured_demo,demo_no_numbers,proposal_or_idea,commentary_or_meme
other_or_meta,0.0062,0.317,0.5905,0.0171,0.0692
games_control_loops_simulation,0.0,0.3166,0.6834,0.0,0.0
classification_routing_triage,0.0508,0.391,0.5521,0.0036,0.0024
agent_harness_and_tool_gating,0.0234,0.2957,0.6723,0.0085,0.0
search_rerank_extraction,0.0214,0.391,0.5812,0.0043,0.0021
evals_and_judging,0.0032,0.5079,0.4826,0.0063,0.0
moderation_and_guardrails,0.0221,0.3186,0.6562,0.0032,0.0
data_and_telemetry,0.0179,0.6857,0.2929,0.0036,0.0
trading_and_markets,0.038,0.4563,0.4829,0.0114,0.0114
browser_and_computer_use,0.0,0.4034,0.5924,0.0042,0.0
compaction_and_context,0.0135,0.4865,0.5,0.0,0.0
collaboration_and_typing,0.0,0.1935,0.8065,0.0,0.0
live_chat_streams_events,0.0,0.2333,0.7667,0.0,0.0
voice_and_turn_taking,0.0,0.3043,0.6957,0.0,0.0
