evidence,posts,views,median_views,share_posts,share_views
measured_production,95,1249507,319.0,0.016430300933932895,0.026598945853173066
measured_demo,2139,24689232,133.0,0.36994119681771015,0.5255733222178249
demo_no_numbers,3414,20191302,141.0,0.5904531304047043,0.4298234012318979
proposal_or_idea,39,260872,67.0,0.00674507090971982,0.005553326394016972
commentary_or_meme,95,584896,120.0,0.016430300933932895,0.012451004303087149
