item,calls,noCache,cacheRead,cacheWrite,output,usd,gateway_reported_usd
"Sonnet 5, main run (incl. 40-card pilot kept)",146,1064857,630895,4351,536941,7.6361805,7.6361805
"Sonnet 5, discarded first pilot (40 cards)",1,9870,0,4218,4432,0.074605,0.074605
Jev (input only; output free),5782,7615500,0,0,0,0.319851,
