tier,posts,views,median_views,share_posts,share_views
frame,30,1007216,459.0,0.005188516084399862,0.02144116347203302
feel,770,4020988,184.5,0.13317191283292978,0.0855969931246953
turn,92,667060,260.5,0.015911449325492908,0.014200074766141867
interaction,1282,11145834,142.5,0.22172258734002076,0.23726752635595907
task,1728,15917253,140.5,0.298858526461432,0.3388393587857103
batch,822,7611164,117.0,0.1421653407125562,0.16202305318467214
unclear,1058,6606294,103.0,0.18298166724316844,0.14063183031078827
