framing,posts,views,median_views,share_posts,share_views
cost,848,12678919,203.0,0.14666205465236942,0.2699031537700607
latency,880,13908966,197.0,0.1521964718090626,0.29608784385171527
accuracy,674,3177360,98.5,0.11656866136285023,0.06763821778992672
capability,2266,14333627,141.0,0.3919059149083362,0.3051278371810478
none,1114,2876937,110.0,0.19266689726738154,0.061242947407249546
